sedol,aims,annual_charge,annual_saving,bid_price,citicode,closed_fund,company_id,company_name,cost_segment,full_description,fund_name,fund_size,historic_yield,holding_fee,icvc,initial_charge,initial_commission,initial_saving,is_oeic,isaable,kiid,launch_currency,launchdate,lsmininv,lump_sum_min_inv,net_annual_charge,num_holdings,offer_price,other_expenses,payment_frequency,payment_type,percent_change,perf0t12m,perf120m,perf12m,perf12t24m,perf24t36m,perf36m,perf36t48m,perf3m,perf48t60m,perf60m,perf6m,reg_saver,reg_saver_min_inv,sector_id,sector_name,sicav,sippable,total_expenses,tracker,unit_type,update_time,updated,valuation_frequency,fund_yield,Wealth150
3395770,This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,1.41,0.0,309.15,QI87,0,1174,Seven Investment Management,5,7IM Adventurous Fund (Class C),Seven Investment Management Adventurous Fund (Class C),139.6,0.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.41,23.0,309.15,0.51,Bi-annually,Dividend,0.52,0.44,0.0,0.44,9.21,3.12,13.11,-4.42,-3.45,23.12,33.1,-2.6,1,25.0,115,Flexible Investment,0,1,1.41,0,Income,2025-05-28,2025-05-28,Daily,0.9,0
3395800,This Fund aims to provide capital growth. There is a risk of wide fluctuations in capital values.,1.41,0.0,339.87,QI86,0,1174,Seven Investment Management,5,7IM Adventurous Fund (Class C),Seven Investment Management Adventurous Fund (Class C),139.6,0.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.41,23.0,339.87,0.51,Bi-annually,Dividend,0.52,0.45,0.0,0.45,9.21,3.12,13.11,-4.42,-3.44,23.12,33.11,-2.6,1,25.0,115,Flexible Investment,0,1,1.41,0,Accumulation,2025-05-28,2025-05-28,Daily,0.9,0
3395929,This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,1.3,0.0,203.27,QI98,0,1174,Seven Investment Management,5,7IM Balanced Fund (Class C),Seven Investment Management Balanced Fund (Class C),510.2,1.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.3,37.0,203.27,0.4,Bi-annually,Dividend,0.4,1.43,0.0,1.43,8.92,-0.24,10.22,-4.74,-2.56,16.07,21.87,-1.68,1,25.0,131,Mixed Investment 20-60% Shares,0,1,1.3,0,Income,2025-05-28,2025-05-28,Daily,1.9,0
3395974,This Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,1.3,0.0,271.72999999999996,QI97,0,1174,Seven Investment Management,5,7IM Balanced Fund (Class C),Seven Investment Management Balanced Fund (Class C),510.2,1.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.3,37.0,271.72999999999996,0.4,Bi-annually,Dividend,0.4,1.43,0.0,1.43,8.92,-0.23,10.23,-4.75,-2.56,16.07,21.87,-1.68,1,25.0,131,Mixed Investment 20-60% Shares,0,1,1.3,0,Accumulation,2025-05-28,2025-05-28,Daily,1.9,0
3395639,This Fund aims to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.,1.35,0.0,284.82,QI92,0,1174,Seven Investment Management,5,7IM Moderately Adventurous (Class C),Seven Investment Management Moderately Adventurous Fund (Class C),360.5,1.4,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.35,30.0,284.82,0.45,Bi-annually,Dividend,0.47,1.03,0.0,1.03,9.56,2.12,13.04,-4.32,-2.87,21.05,30.92,-1.81,1,25.0,107,Mixed Investment 40-85% Shares,0,1,1.35,0,Income,2025-05-28,2025-05-28,Daily,1.4,0
3395651,This Fund aims to provide a total return primarily by way of growth in capital. There is a risk of fluctuations in capital values.,1.35,0.0,333.83,QI91,0,1174,Seven Investment Management,5,7IM Moderately Adventurous (Class C),Seven Investment Management Moderately Adventurous Fund (Class C),360.5,1.4,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.35,30.0,333.83,0.45,Bi-annually,Dividend,0.47,1.03,0.0,1.03,9.56,2.12,13.04,-4.32,-2.87,21.04,30.92,-1.82,1,25.0,107,Mixed Investment 40-85% Shares,0,1,1.35,0,Accumulation,2025-05-28,2025-05-28,Daily,1.4,0
3395327,"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",1.34,0.0,141.89000000000001,RK23,0,1174,Seven Investment Management,5,7IM Moderately Cautious (Class C),Seven Investment Management Moderately Cautious (Class C),135.8,2.3,0.0,0,0.0,3.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.34,37.0,141.89000000000001,0.44,Bi-annually,Dividend,0.33,2.0,0.0,2.0,6.89,-3.09,5.66,-6.17,-1.74,10.87,9.92,-0.68,1,25.0,137,Mixed Investment 0-35% Shares,0,1,1.34,0,Income,2025-05-28,2025-05-28,Daily,2.3,0
3395349,"This Fund aims to provide a total return, substantially by way of income though with some capital appreciation. There may be a moderate risk to capital.",1.34,0.0,211.52,RK22,0,1174,Seven Investment Management,5,7IM Moderately Cautious (Class C),Seven Investment Management Moderately Cautious (Class C),135.8,2.3,0.0,0,0.0,3.0,0.0,1,1,1,GBP,2003-12-12,100.0,100.0,1.34,37.0,211.52,0.44,Bi-annually,Dividend,0.33,2.01,0.0,2.01,6.9,-3.09,5.67,-6.17,-1.75,10.87,9.93,-0.68,1,25.0,137,Mixed Investment 0-35% Shares,0,1,1.34,0,Accumulation,2025-05-28,2025-05-28,Daily,2.3,0
BMDPBQ8,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.34,0.0,105.43,R2FS,0,1174,Seven Investment Management,1,7IM Pathbuilder 1 (Class C),Seven Investment Management Pathbuilder 1 (Class C),16.6,2.2,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2020-12-09,100.0,100.0,0.34,15.0,105.43,0.12,Bi-annually,Dividend,0.27,2.95,0.0,2.95,9.57,-1.77,10.8,-6.13,-2.13,0.0,0.0,-0.55,1,25.0,157,Volatility Managed,0,1,0.34,0,Accumulation,2025-05-28,2025-05-28,Daily,2.2,0
BMDPC09,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.34,0.0,97.95,R2FT,0,1174,Seven Investment Management,1,7IM Pathbuilder 1 (Class C),Seven Investment Management Pathbuilder 1 (Class C),16.6,2.2,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2020-12-09,100.0,100.0,0.34,15.0,97.95,0.12,Bi-annually,Dividend,0.27,2.94,0.0,2.94,9.57,-1.78,10.78,-6.13,-2.13,0.0,0.0,-0.56,1,25.0,157,Volatility Managed,0,1,0.34,0,Income,2025-05-28,2025-05-28,Daily,2.2,0
BMDPC32,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.34,0.0,117.74,R2FW,0,1174,Seven Investment Management,1,7IM Pathbuilder 2 (Class C),Seven Investment Management Pathbuilder 2 (Class C),83.2,2.3,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2020-12-09,100.0,100.0,0.34,15.0,117.74,0.12,Bi-annually,Dividend,0.32,4.17,0.0,4.17,12.23,0.63,17.65,-3.18,-2.26,0.0,0.0,-0.19,1,25.0,157,Volatility Managed,0,1,0.34,0,Accumulation,2025-05-28,2025-05-28,Daily,2.3,0
BMDPC43,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.34,0.0,109.07,R2FX,0,1174,Seven Investment Management,1,7IM Pathbuilder 2 (Class C),Seven Investment Management Pathbuilder 2 (Class C),83.2,2.3,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2020-12-09,100.0,100.0,0.34,15.0,109.07,0.12,Bi-annually,Dividend,0.32,4.16,0.0,4.16,12.24,0.63,17.64,-3.19,-2.26,0.0,0.0,-0.19,1,25.0,157,Volatility Managed,0,1,0.34,0,Income,2025-05-28,2025-05-28,Daily,2.3,0
BMDPC76,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.34,0.0,126.78,R2G0,0,1174,Seven Investment Management,1,7IM Pathbuilder 3 (Class C),Seven Investment Management Pathbuilder 3 (Class C),78.1,1.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2020-12-09,100.0,100.0,0.34,14.0,126.78,0.12,Bi-annually,Dividend,0.4,5.02,0.0,5.02,13.9,2.58,22.7,-1.5,-2.49,0.0,0.0,0.14,1,25.0,157,Volatility Managed,0,1,0.34,0,Accumulation,2025-05-28,2025-05-28,Daily,1.9,0
BMDPC87,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.34,0.0,118.65,R2G1,0,1174,Seven Investment Management,1,7IM Pathbuilder 3 (Class C),Seven Investment Management Pathbuilder 3 (Class C),78.1,1.9,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2020-12-09,100.0,100.0,0.34,14.0,118.65,0.12,Bi-annually,Dividend,0.41,5.01,0.0,5.01,13.91,2.57,22.68,-1.5,-2.48,0.0,0.0,0.14,1,25.0,157,Volatility Managed,0,1,0.34,0,Income,2025-05-28,2025-05-28,Daily,1.9,0
BMDPCC1,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.33,0.0,120.85,R2G4,0,1174,Seven Investment Management,1,7IM Pathbuilder 4 (Class C),Seven Investment Management Pathbuilder 4 (Class C),40.7,1.5,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2021-12-03,100.0,100.0,0.33,8.0,120.85,0.11,Bi-annually,Dividend,0.46,5.19,0.0,5.19,15.83,3.51,26.13,0.0,-2.81,0.0,0.0,0.22,1,25.0,157,Volatility Managed,0,1,0.33,0,Accumulation,2025-05-28,2025-05-28,Daily,1.5,0
BMDPCD2,"The fund aims to provide a return of capital and income over 5 years or more, which is consistent with its risk profile. There is no guarantee that a positive return will be delivered.",0.33,0.0,114.48,R2G5,0,1174,Seven Investment Management,1,7IM Pathbuilder 4 (Class C),Seven Investment Management Pathbuilder 4 (Class C),40.7,1.5,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2021-12-03,100.0,100.0,0.33,8.0,114.48,0.11,Bi-annually,Dividend,0.46,5.25,0.0,5.25,15.85,3.51,26.21,0.0,-2.81,0.0,0.0,0.24,1,25.0,157,Volatility Managed,0,1,0.33,0,Income,2025-05-28,2025-05-28,Daily,1.5,0
B75MS61,The investment objective of the fund is to achieve growth over the medium to long term. The fund will aim to provide a total return that exceeds UK inflation by 2% on average over a rolling three year period.,0.73,0.0,169.78,0HF3,0,1174,Seven Investment Management,3,7IM Real Return (Class C),Seven Investment Management Real Return (Class C),67.9,1.8,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2012-01-31,100.0,100.0,0.73,23.0,169.78,-0.27,Bi-annually,Dividend,0.05,3.98,0.0,3.98,3.82,0.51,8.5,-3.07,0.69,8.96,14.59,1.24,1,25.0,136,Targeted Absolute Return,0,1,0.73,0,Accumulation,2025-05-28,2025-05-28,Daily,1.8,0
B1LBFZ8,The Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,1.39,0.0,192.6,Q726,0,1174,Seven Investment Management,5,7IM Responsible Balanced (Class C),Seven Investment Management Responsible Balanced  (Class C),135.1,2.4,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2007-02-01,100.0,100.0,1.39,66.0,192.6,0.14,Bi-annually,Dividend,0.55,2.03,0.0,2.03,6.1,-2.54,5.5,-4.92,-2.66,11.19,11.53,-2.15,1,25.0,131,Mixed Investment 20-60% Shares,0,1,1.39,0,Accumulation,2025-05-28,2025-05-28,Daily,2.4,0
B1LBG00,The Fund aims to provide a balance of income and capital appreciation. There may be some risk to capital.,1.39,0.0,131.73,Q725,0,1174,Seven Investment Management,5,7IM Responsible Balanced (Class C),Seven Investment Management Responsible Balanced  (Class C),135.1,2.4,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2007-02-01,100.0,100.0,1.39,66.0,131.73,0.14,Bi-annually,Dividend,0.55,2.02,0.0,2.02,6.1,-2.54,5.49,-4.92,-2.67,11.19,11.53,-2.16,1,25.0,131,Mixed Investment 20-60% Shares,0,1,1.39,0,Income,2025-05-28,2025-05-28,Daily,2.4,0
0007272,"To achieve a total return, calculated on an income reinvested basis, greater than on the Deutsche Numis Smaller Companies Index (excluding Investment Companies), or if that index is not available another index which the Manager considers comparable, over the long term by investing in a diversified portfolio of small UK quoted companies.",0.81,0.0,34515.0,A109,0,1080,Aberforth Unit Trust Managers,2,Aberforth UK Small Companies,Aberforth Unit Trust Managers UK Small Companies,133.1,0.04,2.0,0,0.0,0.0,0.0,0,1,1,GBP,1991-03-20,100.0,100.0,0.81,78.0,35073.0,0.01,Bi-annually,Dividend,1.03,-1.78,0.0,-1.78,22.74,-1.93,18.23,-8.13,5.74,73.9,88.89,1.92,1,25.0,118,UK Smaller Companies,0,1,0.81,0,Accumulation,2025-05-28,2025-05-27,Daily,0.04,0
B2N9GS7,"To achieve a total return, calculated on an income reinvested basis, greater than on the Deutsche Numis Smaller Companies Index (excluding Investment Companies), or if that index is not available another index which the Manager considers comparable, over the long term by investing in a diversified portfolio of small UK quoted companies.",0.81,0.0,21643.0,AXW0,0,1080,Aberforth Unit Trust Managers,2,Aberforth UK Small Companies,Aberforth Unit Trust Managers UK Small Companies,133.1,0.04,2.0,0,0.0,0.0,0.0,0,1,1,GBP,1991-03-20,100.0,100.0,0.81,78.0,21993.0,0.01,Bi-annually,Dividend,1.03,-1.73,0.0,-1.73,22.83,-1.86,18.46,-8.11,5.75,73.96,89.36,1.95,1,25.0,118,UK Smaller Companies,0,1,0.81,0,Income,2025-05-28,2025-05-27,Daily,0.04,0
0657343,"To generate income and some growth over the long term (5 years or more) by investing in sterling-denominated bonds with a high degree of creditworthiness.

Performance Target: To achieve the return of the Markit iBoxx Sterling Non Gilts AAA plus 0.65% per annum over rolling three year periods (before charges). There is no certainty or promise that the Performance Target will be achieved.

The Markit iBoxx Sterling Non Gilts AAA Index (the ""Index"") is a representative index of the market for sterling denominated AAA rated bonds, excluding bonds issued by the UK Government.",0.6,0.0,104.4,SL78,0,8036,abrdn,5,abrdn AAA Bond (I),abrdn AAA Bond  (I),73.8,0.0,0.0,0,0.0,0.0,0.0,1,1,1,GBP,1999-04-06,100.0,100.0,0.6,77.0,104.4,0.1,Quarterly,Interest,-0.1,4.51,0.0,4.51,5.98,-7.77,2.15,-6.32,0.97,-1.36,-5.6,2.15,1,25.0,150,GBP Corporate Bond,0,1,0.6,0,Accumulation,2025-05-28,2025-05-28,Daily,2.85,0
0658454,"To generate income and some growth over the long term (5 years or more) by investing in sterling-denominated bonds with a high degree of creditworthiness.

Performance Target: To achieve the return of the Markit iBoxx Sterling Non Gilts AAA plus 0.65% per annum over rolling three year periods (before charges). There is no certainty or promise that the Performance Target will be achieved.

The Markit iBoxx Sterling Non Gilts AAA Index (the ""Index"") is a representative index of the market for sterling denominated AAA rated bonds, excluding bonds issued by the UK Government.",0.6,0.0,51.22,SL92,0,8036,abrdn,5,abrdn AAA Bond (I),abrdn AAA Bond  (I),73.8,0.0,0.0,0,0.0,0.0,0.0,1,1,1,GBP,1999-04-06,100.0,100.0,0.6,77.0,51.22,0.1,Quarterly,Interest,-0.12,4.5,0.0,4.5,5.99,-7.77,2.15,-6.3,0.98,-1.36,-5.58,2.11,1,25.0,150,GBP Corporate Bond,0,1,0.6,0,Income,2025-05-28,2025-05-28,Daily,2.85,0
B0XWN25,"To generate growth over the long term (5 years or more) by investing in North American equities (company shares).

Performance Target: To achieve the return of the S&P 500 Index plus 3% per annum over rolling three year periods (before charges). There is no certainty or promise that the Performance Target will be achieved.

The S&P 500 Index (the ""Index"") is a representative index of the US stock market.",0.84,0.05,4807.91,KZ79,0,8036,abrdn,3,abrdn American Equity (I),abrdn American Equity (I),106.7,0.06,2.0,0,0.0,0.0,0.0,1,1,1,GBP,1982-02-26,100.0,100.0,0.79,26.0,4807.91,0.09,Annually,Dividend,2.32,-1.82,0.0,-1.82,21.26,-2.49,16.09,-0.49,-10.82,19.77,38.36,-11.97,1,25.0,110,North America,0,1,0.84,0,Accumulation,2025-05-28,2025-05-28,Daily,0.06,0
BDFZ754,"To generate growth over the long term (5 years or more) by investing in North American equities (company shares).

Performance Target: To exceed the return of the S&P 500 Index by 0.75% per annum over rolling three year periods (before charges).  There is no certainty or promise that the Performance Target will be achieved.

The S&P 500 Index (the ""Index"") is a representative index of the US stock market.",0.14,0.02,207.35000000000002,Q5FQ,0,8036,abrdn,1,abrdn American Equity Enhanced Index (N),abrdn American Equity Enhanced Index (N),448.9,1.21,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2015-03-06,100.0,100.0,0.12,290.0,207.35000000000002,0.04,Bi-annually,Dividend,2.42,3.58,0.0,3.58,24.99,4.3,35.02,11.36,-9.39,22.78,84.61,-10.95,1,25.0,110,North America,0,1,0.12,0,Accumulation,2025-05-28,2025-05-28,Daily,1.21,0
BDFZ732,"To generate growth over the long term (5 years or more) by tracking the return of the S&P 500 Index. 

Performance Target: To match the return of the S&P 500 Index (before charges). There is no certainty or promise that the Performance Target will be achieved.

The S&P 500 Index (the ""Index"") is a representative index of the US stock market.",0.06,0.0,210.55,Q5FT,0,8036,abrdn,1,abrdn American Equity Tracker (N),abrdn American Equity Tracker (N),905.8,1.14,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2019-02-26,100.0,100.0,0.06,547.0,210.55,0.03,Bi-annually,Dividend,2.39,4.56,0.0,4.56,24.96,5.36,37.66,9.67,-8.56,23.66,86.68,-9.74,1,25.0,110,North America,0,1,0.06,0,Accumulation,2025-05-28,2025-05-28,Daily,1.14,0
B0XWNG9,"To generate growth over the long term (5 years or more) by investing in Asia Pacific, excluding Japan equities (company shares).

Performance Target: To achieve the return of the MSCI AC Asia Pacific ex Japan Index plus 3% per annum over rolling three year periods (before charges). There is no certainty that the Performance Target will be achieved.

The MSCI AC Asia Pacific ex Japan Index (the ""Index"") is a representative index of the collective stock markets of Asia Pacific (excluding Japan).",0.86,0.3,342.61,KV68,0,8036,abrdn,1,abrdn Asia Pacific Equity (I),abrdn Asia Pacific Equity (I),674.8,1.27,2.0,0,0.0,0.0,0.0,1,1,1,GBP,1987-04-01,100.0,100.0,0.56,60.0,342.61,0.11,Annually,Dividend,0.25,-0.73,0.0,-0.73,1.57,-2.27,-1.46,-14.12,-2.75,36.66,15.65,-5.1,1,25.0,121,Asia Pacific Ex Japan,0,1,0.86,0,Accumulation,2025-05-28,2025-05-28,Daily,1.27,0
B88N705,"To generate growth over the long term (5 years or more) by investing in Asia Pacific, excluding Japan equities (company shares).

Performance Target: To achieve the return of the MSCI AC Asia Pacific ex Japan Index plus 3% per annum over rolling three year periods (before charges). There is no certainty that the Performance Target will be achieved.

The MSCI AC Asia Pacific ex Japan Index (the ""Index"") is a representative index of the collective stock markets of Asia Pacific (excluding Japan).",0.86,0.3,152.6,GMDD,0,8036,abrdn,1,abrdn Asia Pacific Equity (I),abrdn Asia Pacific Equity (I),674.8,1.27,2.0,0,0.0,0.0,0.0,1,1,1,GBP,1987-04-01,100.0,100.0,0.56,60.0,152.6,0.11,Annually,Dividend,0.24,-0.73,0.0,-0.73,1.56,-2.26,-1.46,-14.13,-2.75,36.66,15.63,-5.09,1,25.0,121,Asia Pacific Ex Japan,0,1,0.86,0,Income,2025-05-28,2025-05-28,Daily,1.27,0
BDFZ6G8,"To generate growth over the long term (5 years or more) by investing in Asia Pacific, excluding Japan equities (company shares).

Performance Target: To exceed the return of the MSCI AC Asia Pacific ex Japan Index by 0.75% per annum over rolling three year periods (before charges). There is no certainty or promise that the Performance Target will be achieved.

The MSCI AC Asia Pacific ex Japan Index (the ""Index"") is a representative index of the collective stock markets of Asia Pacific (excluding Japan).",0.19,0.02,132.46,Q5FN,0,8036,abrdn,1,abrdn Asia Pacific Equity Enhanced Index (N),abrdn Asia Pacific Equity Enhanced Index (N),440.1,2.52,0.0,0,0.0,0.0,0.0,1,1,1,GBP,2016-03-22,100.0,100.0,0.17,1338.0,132.46,0.09,Bi-annually,Dividend,0.22,5.01,0.0,5.01,12.68,-2.89,14.91,-8.22,-2.95,33.62,40.92,-0.41,1,25.0,121,Asia Pacific Ex Japan,0,1,0.17,0,Accumulation,2025-05-28,2025-05-28,Daily,2.52,0
